Minis ; ; ; ;; ; ; ; ;; 
AUDI A5, S5, RS5; 1 243;3,4;-;19,1;68,5; 22 384;4,8;-;7,1;69,4
BMW 3ER; 7 064;19,4;+;24,2;59,3; 62 280;13,4;-;7,9;75,9
CHRYSLER SARATOGA;-;-;;X;-;15;0; ;X;66,7
CITROEN C5;498;1,4;+;20,9;77,1; 5 542;1,2;-;23,2;73,9
CITROEN DS5;20;0,1;;X;95;75;0; ;X;98,7
DODGE AVENGER;1;0;;X;-;9;0; ;X;44,4
FIAT CROMA;2;0;;X;50;90;0;-;78,3;65,6
FIAT LINEA;14;0;;X;100;26;0;-;76,1;96,2
FORD MONDEO; 1 935;5,3;+;17,6;91; 22 555;4,8;+;11,1;87,4
HONDA ACCORD;143;0,4;-;49,3;43,4; 2 728;0,6;-;35,2;53,8
HYUNDAI COUPE;21;0,1;-;34,4;38,1;519;0,1;+;540,7;64,2
HYUNDAI ELANTRA;8;0;;X;-;39;0; ;X;15,4
HYUNDAI I 40;206;0,6;;X;72,3; 1 618;0,3; ;X;81
HYUNDAI SONATA;-;-;;X;-;20;0;-;61,5;100
INFINITI G37;7;0;;X;28,6;70;0;+;18,6;61,4
KIA MAGENTIS;-;-;;X;-;11;0;-;90,4;90,9
LEXUS IS;36;0,1;-;54,4;77,8;421;0,1;-;31,9;59,6
MAZDA 6;372;1;-;27,9;61,6; 7 984;1,7;-;11,2;66,3
MERCEDES C-KLASSE; 6 329;17,4;+;16;64,7; 79 820;17,1;+;11,1;62,2
OPEL INSIGNIA; 2 185;6;+;11,3;85,9; 26 713;5,7;-;5,3;84,1
PEUGEOT 407;5;0;-;92,5;40;310;0,1;-;75,2;86,1
PEUGEOT 508;643;1,8;;X;68,6; 7 977;1,7; ;X;78,1
RENAULT LAGUNA;222;0,6;-;18,1;59,9; 4 859;1;-;2,6;64
SAAB 9-3;12;0;-;85,5;66,7;344;0,1;-;40,4;40,7
SEAT EXEO;785;2,2;+;75,6;88,7; 6 208;1,3;+;4,7;79,8
SKODA SUPERB; 1 310;3,6;+;16,2;69,7; 16 653;3,6;+;7,8;69,1
SUBARU LEGACY;65;0,2;-;36,3;66,2;861;0,2;-;26,9;65
SUZUKI KIZASHI;58;0,2;+;41,5;56,9;784;0,2;+;145,8;47,2
TOYOTA AVENSIS, CARINA;672;1,8;-;12,7;53,7; 8 837;1,9;+;7,1;36,6
