Marke;Anzahl (Dezember);Anteil (Dezember);Vorzeichen (Dezember);Ver‰nderung (Dezember);Gewerblich Anteil (Dezember);Anzahl (Jahr);Anteil (Jahr);Vorzeichen (Jahr);Ver‰nderung (Jahr);Gewerblich Anteil (Jahr);
JAGUAR XF   ;247;2,5;+;18,2;83,8; 2 803;2,1;+;20,6;85,9;
LANCIA THEMA   ;7;0,1;;X;85,7;131;0,1;-;28,8;87,8;
LEXUS GS   ;25;0,3;-;16,7;84;233;0,2;-;42,2;67,8;
MERCEDES E-KLASSE; 2 824;28,6;+;4,8;68; 41 159;30,7;+;10,3;68,4;
RENAULT LATITUDE;-;-;;X;-;34;0;-;70,7;97,1;
VOLVO 70   ;251;2,5;-;6,3;79,3; 3 657;2,7;-;10,8;79,9;
VOLVO 80   ;19;0,2;;X;73,7;251;0,2;-;26,6;77,7;
SONSTIGE   ;3;0;-;95;100;40;0;-;77,8;65;
ZUSAMMEN   ; 9 866 ;4,6;+;2,1;78,7; 133 947;4,5;- ;8,4;80,5;
Oberklasse ; ; ; ;; ; ; ; ;; ;
ALPINA B7 BITURBO;-;-;;X;-;9;0; ;X;44,4;
AUDI A8, S8   ;194;10,5;+;5,4;90,7; 3 220;12,8;-;12,4;95,4;
BENTLEY CONTINENTAL;21;1,1;-;16;81;381;1,5;+;4,7;69,3;
BENTLEY MULSANNE;2;0,1;;X;100;20;0,1; ;X;90;
BMW 6ER   ;134;7,3;-;16,3;69,4; 2 771;11,1;-;7,8;80,9;
BMW 7ER   ;167;9,1;-;58,8;87,4; 3 044;12,1;-;31,7;90,2;
CADILLAC CTS   ;7;0,4;;X;100;33;0,1;-;31,3;78,8;
JAGUAR XJ   ;23;1,2;;X;91,3;342;1,4;-;19,9;90,6;
LEXUS LS   ;2;0,1;;X;100;55;0,2; ;X;78,2;
MASERATI QUATTROPORTE;10;0,5;;X;70;115;0,5; ;X;79,1;
MAYBACH   ;-;-;;X;-;5;0;-;85,7;100;
MERCEDES CL-KLASSE;10;0,5;;X;70;146;0,6;-;33;78,8;
MERCEDES CLS   ;394;21,4;-;6,6;67,8; 5 797;23,1;+;29,4;79,6;
MERCEDES S-KLASSE;568;30,8;+;212,1;79,9; 4 963;19,8;+;50,2;86,7;
PORSCHE PANAMERA;174;9,4;-;8,4;85,1; 2 538;10,1;-;27,3;85,3;
ROLLS-ROYCE GHOST;1;0,1;;X;100;29;0,1;-;9,4;82,8;
ROLLS-ROYCE PHANTOM;1;0,1;;X;100;22;0,1; ;X;86,4;
ROLLS-ROYCE WRAITH;6;0,3;;X;83,3;14;0,1; ;X;85,7;
VW PHAETON   ;129;7;-;31;87,6; 1 561;6,2;-;20,7;83,2;
ZUSAMMEN   ; 1 843 ;0,9;+;2,4;79,6; 25 065;0,8;- ;2;85,3;
SUVs ; ; ; ;; ; ; ; ;; ;
ALPINA XD3 BITURBO;22;0,1;;X;77,3;73;0; ;X;75,3;
BMW X1; 1 791;8;-;32,4;40,6; 23 649;9,6;-;12,4;53;
CHEVROLET CAPTIVA;201;0,9;-;16,6;64,2; 3 420;1,4;-;29,7;60,9;
CHEVROLET TRAX;197;0,9;;X;36; 3 226;1,3; ;X;53,7;
DACIA DUSTER;777;3,5;-;36,2;37,2; 12 807;5,2;-;33,4;20,6;
FIAT SEDICI;66;0,3;;-;45,5;774;0,3;-;34,5;54,4;
FORD ECOSPORT;1;0;;X;100;40;0; ;X;100;
FORD KUGA; 1 686;7,6;+;231,9;53,9; 18 616;7,6;-;7,6;43,1;
HONDA CR-V;688;3,1;+;84,9;52,2; 7 024;2,9;+;1,7;38,1;
HYUNDAI IX 35; 2 293;10,3;+;36,6;81,9; 19 254;7,8;+;0,8;56,8;
HYUNDAI IX 55;-;-;;X;-;95;0;-;70,9;78,9;
INFINITI FX;55;0,2;+;44,7;67,3;414;0,2;-;35,8;78,3;
KIA SPORTAGE;888;4;-;16,9;54,2; 12 374;5;-;1,1;45,2;
LADA NIVA;122;0,5;-;44,3;39,3; 1 019;0,4;-;28,7;29,6;
LEXUS RX;47;0,2;-;42,7;80,9;459;0,2;-;40,1;65,6;
MAZDA CX-5; 1 119;5;+;64,1;45,5; 15 895;6,5;+;83,4;38;
MAZDA CX-7;1;0;-;98,9;100;630;0,3;-;56,1;89,4;
MERCEDES GLA;48;0,2;;X;100;223;0,1; ;X;100;
MERCEDES GLK; 1 740;7,8;+;19,1;58,3; 17 668;7,2;-;5,9;61,9;
MERCEDES R-KLASSE;-;-;-;100;-;429;0,2;-;65,5;87,4;
MITSUBISHI ASX;512;2,3;+;31,3;45,5; 6 798;2,8;-;18,7;33;
MITSUBISHI OUTLANDER;758;3,4;+;128,3;73,7; 4 600;1,9;+;13,4;57;
NISSAN MURANO;18;0,1;;X;88,9;252;0,1;-;26,1;84,9;
NISSAN QASHQAI; 2 292;10,3;+;33;75,3; 26 710;10,9;-;7,8;54,9;
OPEL ANTARA;46;0,2;-;43,9;69,6;905;0,4;-;58,9;77,3;
OPEL MOKKA; 1 973;8,8;+;97,9;47; 19 610;8;+;665,4;38;
PEUGEOT 2008;848;3,8;;X;38; 6 736;2,7; ;X;45,9;
PEUGEOT 4007;-;-;;X;-;119;0;-;58,4;70,6;
PEUGEOT 4008;20;0,1;-;83,5;65;556;0,2;-;29,2;78,2;
RENAULT CAPTUR; 1 194;5,3;;X;49,3; 7 374;3; ;X;47,1;
RENAULT KOLEOS;120;0,5;-;34,4;72,5; 1 167;0,5;-;45,3;67,6;
SKODA YETI; 1 536;6,9;-;4,1;54; 22 045;9;-;0,9;31,1;
SUBARU XV, IMPREZA;81;0,4;-;58,9;39,5; 2 756;1,1;+;1,5;41,9;
SUZUKI SX4;305;1,4;;X;30,5; 1 558;0,6; ;X;61,9;
TOYOTA RAV 4;756;3,4;+;195,3;35,6; 5 529;2,2;-;1,5;48,6;
VOLVO XC70;123;0,6;+;36,7;68,3; 1 262;0,5;-;2,3;72,4;
SONSTIGE;5;0;-;93;60;64;0;-;92;71,9;
ZUSAMMEN ; 22 329 ;10,4;+;33,8;55,5; 246 130;8,3;+ ;8,6;46,4;
Gel‰ndewagen ; ; ; ;; ; ; ; ;; ;
AUDI Q3   ; 1 537;10,6;-;12,8;53,7; 25 379;11,6;-;1,4;49,9;
